Crop,Season,Region,Soil_Type,Irrigation_Type,Mechanization_Level,Labour_Availability,Gender_Split,Farm_Size_Acre,Task,Prev_Yield_q_per_acre,Weather_Index,Labour_Per_Acre_est,Labour_Required,Labour_Hours_est,Duration_Days_est,Wage_Per_Day_INR,Total_Labour_Cost_INR,Male_Workers_est,Female_Workers_est,Labour_Demand_Level
Mustard,Zaid,Uttar_Pradesh,Alluvial,Sprinkler,Medium,Medium,Mostly_Male,3.9,Fertilizer_Application,12.79,0.91,0.54,2,15.2,7,448,896,2,0,Very_Low
Sugarcane,Rabi,Haryana,Alluvial,Sprinkler,Medium,Low,Mostly_Female,2.43,Fertilizer_Application,27.92,1.01,1.16,3,26.5,4,678,2034,0,3,Very_Low
Maize,Zaid,Bihar,Sandy,Drip,None,Low,Mostly_Female,2.28,Land_Preparation,23.78,0.88,1.25,3,21.8,4,398,1194,1,2,Very_Low
Groundnut,Zaid,Bihar,Red,Tube_Well,Medium,Medium,Mostly_Female,1.55,Threshing,16.93,0.87,1.96,3,24.9,5,350,1050,1,2,Low
Groundnut,Kharif,Karnataka,Red,Drip,Low,High,Mostly_Male,2.11,Post_Harvest,15.23,0.93,0.91,2,13.1,7,471,942,2,0,Very_Low
Pulses,Rabi,Karnataka,Alluvial,Rainfed,Low,Medium,Mixed,6.43,Transplanting,15.28,0.93,2.99,19,146.8,41,480,9120,10,9,Medium
Rice,Rabi,Tamil_Nadu,Loamy,Rainfed,Medium,Medium,Mixed,3.38,Post_Harvest,30.86,0.97,0.95,3,22.9,10,517,1551,1,2,Very_Low
Soybean,Rabi,West_Bengal,Sandy,Tube_Well,Low,Low,Mostly_Female,3.72,Sowing,17.85,1.07,2.13,8,68.1,11,451,3608,1,7,Low
Rice,Rabi,Madhya_Pradesh,Red,Drip,None,Low,Mostly_Female,1.61,Pest_Control,36.78,0.95,1.42,2,12.4,3,420,840,0,2,Very_Low
Wheat,Kharif,Madhya_Pradesh,Laterite,Sprinkler,Low,Medium,Mixed,1.1,Weeding,23.36,0.91,1.15,1,6.9,3,481,481,1,0,Very_Low
Vegetables,Zaid,Bihar,Alluvial,Sprinkler,None,High,Mixed,0.8,Transplanting,29.56,1.11,5.94,5,43.5,7,342,1710,3,2,High
Pulses,Kharif,Uttar_Pradesh,Alluvial,Canal,Low,Medium,Mostly_Female,1.14,Fertilizer_Application,18.5,1.06,0.88,1,7.3,2,396,396,0,1,Very_Low
Mustard,Rabi,Bihar,Laterite,Canal,Low,High,Mostly_Male,0.54,Transplanting,10.85,0.85,2.73,1,6.4,4,404,404,1,0,Medium
Sugarcane,Kharif,Madhya_Pradesh,Loamy,Drip,High,High,Mostly_Female,2.12,Post_Harvest,34.76,1.13,0.71,2,14.7,4,497,994,0,2,Very_Low
Cotton,Kharif,West_Bengal,Sandy,Rainfed,Medium,High,Mostly_Male,2.61,Threshing,27.65,0.93,2.84,7,54.1,7,391,2737,6,1,Medium
Pulses,Kharif,Odisha,Laterite,Rainfed,None,Medium,Mixed,0.52,Harvesting,20.63,1.01,3.0,2,15.7,4,423,846,1,1,Medium
Rice,Zaid,Tamil_Nadu,Sandy,Tube_Well,Medium,High,Mostly_Female,0.79,Land_Preparation,34.1,0.99,1.22,1,7.4,1,522,522,0,1,Very_Low
Maize,Rabi,Madhya_Pradesh,Alluvial,Sprinkler,Medium,Medium,Mostly_Female,2.69,Irrigation,27.85,0.87,0.48,1,6.5,2,516,516,0,1,Very_Low
Soybean,Kharif,Uttar_Pradesh,Laterite,Rainfed,None,Low,Mixed,0.89,Irrigation,17.21,0.89,0.72,1,8.6,1,389,389,0,1,Very_Low
Soybean,Zaid,Madhya_Pradesh,Loamy,Drip,Low,Low,Mostly_Female,1.47,Weeding,22.03,1.0,1.11,2,17.2,4,414,828,0,2,Very_Low
Sugarcane,Rabi,West_Bengal,Laterite,Canal,Medium,Medium,Mostly_Male,1.96,Weeding,30.26,1.02,1.51,3,18.5,4,475,1425,2,1,Low
Groundnut,Rabi,Karnataka,Red,Drip,Medium,High,Mostly_Female,2.35,Weeding,24.99,0.96,0.92,2,14.8,5,536,1072,0,2,Very_Low
Groundnut,Rabi,Bihar,Sandy,Rainfed,None,Medium,Mixed,1.06,Pest_Control,16.38,1.03,1.41,1,6.8,2,418,418,0,1,Very_Low
Soybean,Rabi,Karnataka,Loamy,Canal,Medium,Medium,Mostly_Male,1.38,Threshing,14.01,0.95,1.58,2,13.1,5,512,1024,2,0,Low
Wheat,Rabi,Haryana,Sandy,Rainfed,Medium,Medium,Mostly_Female,4.81,Irrigation,22.87,0.93,0.49,2,15.7,3,681,1362,1,1,Very_Low
Cotton,Zaid,Haryana,Loamy,Rainfed,None,Medium,Mixed,2.94,Post_Harvest,21.23,1.09,1.46,4,25.3,8,632,2528,2,2,Very_Low
Rice,Zaid,Karnataka,Red,Drip,Medium,Medium,Mixed,2.68,Irrigation,26.48,0.9,0.54,1,8.3,2,471,471,0,1,Very_Low
Maize,Kharif,Karnataka,Alluvial,Drip,High,Low,Mixed,0.98,Transplanting,20.9,1.04,1.7,2,15.2,4,505,1010,1,1,Low
Groundnut,Zaid,Uttar_Pradesh,Alluvial,Rainfed,None,Medium,Mixed,0.56,Harvesting,27.04,0.86,3.06,2,15.9,4,381,762,1,1,Medium
Sugarcane,Zaid,Bihar,Laterite,Sprinkler,None,Medium,Mixed,0.61,Harvesting,24.4,0.98,4.93,3,25.0,5,393,1179,1,2,High
Groundnut,Kharif,Odisha,Sandy,Tube_Well,Low,Medium,Mostly_Male,1.87,Sowing,15.55,0.96,2.53,5,35.1,8,436,2180,4,1,Medium
Cotton,Kharif,Tamil_Nadu,Alluvial,Drip,Medium,Medium,Mixed,3.45,Sowing,34.94,1.04,2.2,8,50.0,12,563,4504,3,5,Low
Cotton,Kharif,Odisha,Black,Drip,Low,High,Mostly_Female,0.73,Irrigation,30.9,1.0,1.16,1,8.4,1,361,361,0,1,Very_Low
Pulses,Zaid,Punjab,Laterite,Rainfed,Low,Medium,Mostly_Female,3.05,Harvesting,16.33,1.13,3.01,9,68.5,24,670,6030,0,9,Medium
Sugarcane,Rabi,Punjab,Laterite,Sprinkler,None,Medium,Mostly_Male,4.5,Land_Preparation,24.21,0.9,1.87,8,55.4,10,709,5672,6,2,Low
Soybean,Kharif,Haryana,Alluvial,Drip,Medium,Medium,Mostly_Male,6.13,Weeding,16.0,0.98,0.85,5,44.7,16,637,3185,5,0,Very_Low
Soybean,Zaid,Madhya_Pradesh,Red,Canal,Medium,Medium,Mixed,3.71,Sowing,12.56,0.89,0.95,4,29.0,13,467,1868,2,2,Very_Low
Soybean,Kharif,Madhya_Pradesh,Alluvial,Sprinkler,Low,Low,Mixed,2.28,Sowing,22.65,0.85,1.44,3,18.8,9,504,1512,1,2,Very_Low
Groundnut,Zaid,Madhya_Pradesh,Black,Canal,Medium,Medium,Mixed,1.4,Weeding,17.4,1.13,1.12,2,12.2,3,461,922,1,1,Very_Low
Maize,Rabi,West_Bengal,Alluvial,Sprinkler,Low,Low,Mostly_Female,2.06,Sowing,18.87,1.04,2.28,5,44.8,8,436,2180,1,4,Low
Cotton,Rabi,Punjab,Black,Rainfed,Medium,Medium,Mixed,7.19,Harvesting,34.08,0.9,3.1,22,134.8,49,679,14938,11,11,Medium
Pulses,Zaid,Karnataka,Alluvial,Rainfed,Medium,High,Mostly_Male,2.65,Transplanting,21.09,1.09,2.43,6,38.1,17,518,3108,5,1,Low
Pulses,Rabi,Maharashtra,Loamy,Tube_Well,Low,Low,Mostly_Male,2.86,Sowing,15.73,0.92,1.6,5,33.0,12,459,2295,4,1,Low
Wheat,Rabi,Madhya_Pradesh,Black,Sprinkler,Low,Medium,Mostly_Male,1.84,Harvesting,23.16,1.07,3.0,6,53.6,12,419,2514,5,1,Medium
Wheat,Rabi,Madhya_Pradesh,Alluvial,Drip,Low,Low,Mixed,1.0,Weeding,24.09,1.12,1.37,1,8.4,3,473,473,0,1,Very_Low
Mustard,Kharif,Haryana,Laterite,Sprinkler,Low,High,Mostly_Female,1.1,Harvesting,19.67,1.1,2.49,3,24.6,9,625,1875,0,3,Low
Soybean,Kharif,Odisha,Black,Sprinkler,High,Medium,Mostly_Male,2.89,Land_Preparation,20.23,1.15,0.7,2,15.0,4,399,798,2,0,Very_Low
Rice,Rabi,Karnataka,Black,Rainfed,Medium,Low,Mostly_Female,7.58,Pest_Control,24.93,1.13,1.05,8,55.1,13,442,3536,1,7,Very_Low
Maize,Kharif,Karnataka,Sandy,Sprinkler,None,Medium,Mostly_Male,6.27,Pest_Control,25.65,0.91,1.12,7,55.2,14,432,3024,6,1,Very_Low
Vegetables,Zaid,Bihar,Sandy,Rainfed,Low,High,Mostly_Female,4.22,Post_Harvest,35.6,1.01,1.66,7,58.5,10,425,2975,2,5,Low
Wheat,Zaid,Bihar,Alluvial,Rainfed,Low,Medium,Mostly_Male,1.27,Fertilizer_Application,12.97,0.96,0.89,1,8.1,2,415,415,1,0,Very_Low
Pulses,Kharif,Tamil_Nadu,Alluvial,Drip,Medium,High,Mostly_Female,0.76,Weeding,20.51,1.08,0.83,1,7.0,2,533,533,0,1,Very_Low
Wheat,Kharif,Bihar,Red,Drip,Low,Medium,Mostly_Male,0.66,Harvesting,14.79,1.06,3.17,2,15.2,4,400,800,2,0,Medium
Rice,Kharif,Karnataka,Alluvial,Rainfed,Low,Low,Mostly_Male,3.08,Sowing,32.39,0.9,2.24,7,45.1,10,456,3192,7,0,Low
Wheat,Rabi,West_Bengal,Loamy,Sprinkler,High,Medium,Mixed,0.64,Harvesting,22.06,1.07,1.1,1,6.6,3,473,473,1,0,Very_Low
Mustard,Zaid,Bihar,Laterite,Sprinkler,Low,Medium,Mixed,3.63,Harvesting,9.35,1.03,2.66,10,85.3,26,370,3700,4,6,Medium
Maize,Kharif,Uttar_Pradesh,Black,Drip,Low,Medium,Mostly_Male,1.27,Transplanting,24.34,0.96,3.58,5,32.5,9,452,2260,4,1,Medium
Sugarcane,Zaid,Madhya_Pradesh,Black,Canal,None,High,Mostly_Female,2.41,Transplanting,33.42,0.98,5.15,12,79.4,18,479,5748,3,9,High
Sugarcane,Rabi,Karnataka,Sandy,Canal,Low,Low,Mostly_Male,1.03,Pest_Control,35.57,1.13,2.03,2,17.7,2,450,900,2,0,Low
Mustard,Zaid,Bihar,Loamy,Tube_Well,Low,Medium,Mostly_Female,3.71,Transplanting,19.24,1.09,3.78,14,122.7,22,352,4928,2,12,Medium
Wheat,Kharif,Tamil_Nadu,Alluvial,Tube_Well,None,Medium,Mostly_Male,12.86,Harvesting,26.12,0.96,2.87,37,289.5,90,536,19832,34,3,Medium
Maize,Kharif,Punjab,Alluvial,Sprinkler,Medium,Medium,Mostly_Male,2.54,Threshing,16.58,0.97,1.78,5,39.0,8,639,3195,4,1,Low
Vegetables,Kharif,West_Bengal,Red,Drip,Low,Medium,Mixed,1.81,Irrigation,40.6,1.14,1.73,3,18.8,2,434,1302,2,1,Low
Groundnut,Rabi,Madhya_Pradesh,Loamy,Drip,Medium,Medium,Mostly_Female,8.78,Post_Harvest,25.57,0.88,0.67,6,44.5,24,515,3090,0,6,Very_Low
Soybean,Rabi,Haryana,Alluvial,Drip,Medium,Medium,Mostly_Male,5.39,Threshing,9.59,0.99,1.59,9,78.7,15,720,6480,7,2,Low
Groundnut,Kharif,Uttar_Pradesh,Sandy,Tube_Well,Low,Medium,Mostly_Male,3.18,Land_Preparation,15.21,1.09,1.74,6,41.4,6,444,2664,4,2,Low
Maize,Rabi,Madhya_Pradesh,Laterite,Canal,None,High,Mixed,1.05,Sowing,18.5,1.03,1.78,2,14.9,4,434,868,1,1,Low
Rice,Rabi,Tamil_Nadu,Loamy,Sprinkler,None,Medium,Mostly_Female,1.18,Land_Preparation,21.98,0.89,1.72,2,16.2,2,474,948,0,2,Low
Pulses,Kharif,Uttar_Pradesh,Red,Sprinkler,Medium,Low,Mostly_Male,1.2,Transplanting,8.33,1.08,3.24,4,26.0,6,411,1644,4,0,Medium
Maize,Rabi,Bihar,Alluvial,Sprinkler,Medium,High,Mostly_Male,2.78,Transplanting,13.96,1.01,2.45,7,52.2,15,428,2996,5,2,Low
Sugarcane,Zaid,Maharashtra,Black,Sprinkler,Medium,High,Mostly_Female,0.99,Threshing,31.17,1.06,2.69,3,25.2,3,564,1692,0,3,Medium
Sugarcane,Kharif,Karnataka,Red,Tube_Well,Medium,Low,Mixed,4.73,Post_Harvest,27.87,1.01,1.49,7,45.6,10,521,3647,3,4,Very_Low
Sugarcane,Zaid,Madhya_Pradesh,Loamy,Canal,Low,Low,Mostly_Male,6.29,Pest_Control,43.55,1.06,1.73,11,68.6,13,490,5390,8,3,Low
Rice,Kharif,Tamil_Nadu,Sandy,Rainfed,Low,High,Mostly_Male,0.87,Sowing,22.68,0.94,1.93,2,12.6,3,546,1092,2,0,Low
Cotton,Kharif,Bihar,Alluvial,Rainfed,None,Medium,Mixed,9.96,Post_Harvest,35.84,0.95,1.4,14,105.0,33,364,5096,7,7,Very_Low
Rice,Zaid,Punjab,Sandy,Canal,Medium,High,Mostly_Male,3.16,Threshing,34.11,0.85,1.85,6,52.6,12,778,4668,5,1,Low
Soybean,Kharif,Karnataka,Loamy,Rainfed,None,Medium,Mixed,1.02,Pest_Control,15.41,0.91,0.82,1,6.3,2,446,446,0,1,Very_Low
Sugarcane,Rabi,Bihar,Loamy,Tube_Well,Medium,Low,Mixed,0.91,Harvesting,29.01,0.88,3.04,3,23.4,5,434,1302,1,2,Medium
Mustard,Rabi,Uttar_Pradesh,Laterite,Canal,High,High,Mixed,3.52,Fertilizer_Application,16.52,0.9,0.35,1,7.5,4,423,423,1,0,Very_Low
Rice,Kharif,Madhya_Pradesh,Laterite,Drip,Medium,High,Mostly_Female,7.45,Transplanting,25.16,0.87,3.42,25,175.4,43,516,12900,1,24,Medium
Vegetables,Zaid,Karnataka,Red,Sprinkler,Medium,High,Mostly_Female,4.8,Pest_Control,34.13,0.96,1.09,5,44.3,9,493,2465,0,5,Very_Low
Groundnut,Kharif,Haryana,Red,Drip,Low,Medium,Mostly_Male,5.26,Land_Preparation,18.13,0.88,1.3,7,43.4,10,742,5194,6,1,Very_Low
Pulses,Kharif,Uttar_Pradesh,Sandy,Sprinkler,None,Low,Mostly_Female,2.88,Harvesting,19.72,1.09,3.25,9,71.9,23,405,3645,1,8,Medium
Mustard,Zaid,Punjab,Alluvial,Drip,High,Low,Mixed,1.76,Fertilizer_Application,17.12,1.11,0.43,1,6.1,2,745,745,1,0,Very_Low
Sugarcane,Rabi,West_Bengal,Black,Tube_Well,Medium,Medium,Mostly_Male,1.01,Post_Harvest,43.79,1.05,1.23,1,8.1,2,438,438,1,0,Very_Low
Mustard,Kharif,West_Bengal,Red,Drip,Medium,Medium,Mostly_Female,2.24,Fertilizer_Application,23.69,1.08,0.71,2,12.4,4,400,800,0,2,Very_Low
Soybean,Kharif,Bihar,Laterite,Rainfed,Low,High,Mixed,0.69,Fertilizer_Application,16.19,0.87,0.64,1,6.7,1,350,350,1,0,Very_Low
Maize,Kharif,Bihar,Black,Rainfed,Low,Low,Mostly_Female,0.78,Pest_Control,22.92,1.02,1.24,1,6.8,2,397,397,0,1,Very_Low
Vegetables,Zaid,West_Bengal,Red,Sprinkler,None,Medium,Mostly_Female,4.89,Weeding,38.72,0.95,1.95,10,82.9,14,453,4530,1,9,Low
Vegetables,Kharif,Karnataka,Loamy,Rainfed,Medium,Medium,Mixed,2.1,Irrigation,41.42,0.86,1.09,2,14.4,1,521,1042,1,1,Very_Low
Soybean,Kharif,Odisha,Red,Tube_Well,None,High,Mixed,0.68,Pest_Control,9.26,0.91,0.84,1,8.0,1,440,440,0,1,Very_Low
Mustard,Rabi,Maharashtra,Laterite,Drip,Low,Medium,Mostly_Female,1.1,Threshing,12.71,0.9,1.65,2,16.2,5,522,1044,0,2,Low
Groundnut,Rabi,Tamil_Nadu,Sandy,Drip,High,Medium,Mostly_Male,3.07,Threshing,19.8,0.91,1.13,3,20.2,9,567,1701,3,0,Very_Low
Vegetables,Rabi,Haryana,Loamy,Canal,Medium,Medium,Mixed,1.75,Transplanting,35.96,0.93,4.83,8,57.7,8,616,4928,4,4,High
Maize,Rabi,Karnataka,Sandy,Drip,Low,High,Mostly_Male,2.8,Transplanting,2.6,0.93,2.72,8,67.0,16,498,3984,7,1,Medium
Wheat,Zaid,Karnataka,Alluvial,Rainfed,High,Low,Mostly_Female,2.29,Irrigation,15.65,1.11,0.43,1,7.2,1,510,510,0,1,Very_Low
Sugarcane,Kharif,Haryana,Sandy,Sprinkler,High,Medium,Mostly_Female,6.22,Threshing,38.62,0.93,1.83,11,73.9,14,716,7876,1,10,Low
Soybean,Zaid,West_Bengal,Loamy,Canal,High,Low,Mostly_Male,2.17,Transplanting,12.34,0.91,1.28,3,21.7,12,393,1179,3,0,Very_Low
Rice,Rabi,Tamil_Nadu,Laterite,Drip,Medium,High,Mostly_Male,1.12,Fertilizer_Application,27.2,0.99,0.78,1,6.9,2,585,585,1,0,Very_Low
Wheat,Zaid,Maharashtra,Red,Sprinkler,Low,Medium,Mostly_Female,2.65,Fertilizer_Application,21.53,1.12,1.01,3,22.8,4,505,1515,0,3,Very_Low
Vegetables,Rabi,Uttar_Pradesh,Alluvial,Canal,Low,High,Mostly_Male,4.3,Harvesting,38.03,1.04,5.07,22,182.6,30,381,8382,21,1,High
Groundnut,Rabi,West_Bengal,Red,Drip,High,High,Mostly_Male,4.13,Irrigation,27.58,1.0,0.33,1,7.8,3,466,466,1,0,Very_Low
Wheat,Kharif,Madhya_Pradesh,Loamy,Drip,Medium,Low,Mixed,2.89,Weeding,25.04,1.04,0.95,3,18.7,6,463,1389,2,1,Very_Low
Sugarcane,Zaid,West_Bengal,Red,Drip,Low,Medium,Mixed,3.29,Transplanting,39.66,1.06,6.37,21,176.4,18,431,9051,9,12,High
Vegetables,Zaid,Maharashtra,Alluvial,Rainfed,High,Medium,Mostly_Female,0.85,Weeding,34.15,1.12,1.09,1,6.6,2,471,471,0,1,Very_Low
Vegetables,Zaid,Uttar_Pradesh,Black,Rainfed,High,Low,Mostly_Female,3.22,Sowing,31.83,0.85,1.34,4,33.3,10,464,1856,1,3,Very_Low
Cotton,Zaid,Maharashtra,Black,Tube_Well,Low,Medium,Mostly_Male,0.85,Pest_Control,32.09,1.11,1.47,1,9.0,1,534,534,1,0,Very_Low
Vegetables,Kharif,Punjab,Red,Tube_Well,Low,Medium,Mostly_Male,3.12,Fertilizer_Application,38.0,1.02,1.81,6,37.5,6,782,4692,6,0,Low
Vegetables,Zaid,Maharashtra,Loamy,Drip,Medium,Medium,Mixed,0.51,Sowing,40.09,0.88,1.83,1,7.0,1,563,563,1,0,Low
Soybean,Zaid,Punjab,Alluvial,Tube_Well,Low,Medium,Mixed,12.92,Fertilizer_Application,10.55,0.89,0.77,10,61.2,20,659,6590,5,5,Very_Low
Pulses,Rabi,Madhya_Pradesh,Alluvial,Tube_Well,Medium,Medium,Mixed,2.5,Sowing,21.77,0.94,1.35,3,22.5,10,436,1308,1,2,Very_Low
Vegetables,Rabi,Uttar_Pradesh,Sandy,Tube_Well,Low,Medium,Mostly_Male,2.05,Fertilizer_Application,29.25,1.07,1.82,4,35.4,4,474,1896,4,0,Low
Groundnut,Kharif,Maharashtra,Black,Rainfed,Low,Low,Mixed,3.53,Transplanting,25.33,1.06,5.4,19,170.7,26,455,8645,9,10,High
Mustard,Rabi,Karnataka,Laterite,Rainfed,Medium,High,Mostly_Male,2.06,Fertilizer_Application,16.99,0.88,0.61,1,6.5,3,493,493,1,0,Very_Low
Soybean,Kharif,Odisha,Alluvial,Sprinkler,Medium,Low,Mostly_Male,7.09,Weeding,24.04,1.08,0.99,7,60.6,14,428,2996,6,1,Very_Low
Vegetables,Rabi,Odisha,Alluvial,Tube_Well,None,Low,Mostly_Female,5.88,Harvesting,28.79,0.99,6.68,39,303.5,38,456,17784,8,31,High
Groundnut,Rabi,Odisha,Black,Canal,High,High,Mixed,0.72,Fertilizer_Application,24.88,1.09,0.51,1,7.6,1,369,369,0,1,Very_Low
Cotton,Rabi,Haryana,Alluvial,Canal,None,High,Mixed,1.21,Transplanting,32.04,0.89,4.79,6,43.8,10,635,3810,3,3,High
Sugarcane,Rabi,Haryana,Red,Sprinkler,None,Medium,Mixed,2.07,Harvesting,30.19,0.93,4.6,10,62.7,16,644,6440,4,6,High
Vegetables,Kharif,Punjab,Sandy,Tube_Well,High,Medium,Mostly_Female,3.62,Transplanting,36.87,1.13,3.62,13,103.2,14,711,9243,0,13,Medium
Groundnut,Rabi,Madhya_Pradesh,Black,Tube_Well,Medium,Medium,Mixed,1.35,Post_Harvest,21.6,0.86,0.63,1,6.1,3,452,452,0,1,Very_Low
Soybean,Rabi,Bihar,Red,Sprinkler,None,Medium,Mostly_Male,4.6,Harvesting,18.64,0.9,2.2,10,71.8,31,425,4250,8,2,Low
Soybean,Zaid,Karnataka,Loamy,Drip,Medium,Medium,Mostly_Male,7.76,Weeding,19.84,0.91,0.7,5,39.1,21,444,2220,4,1,Very_Low
Wheat,Rabi,Haryana,Alluvial,Canal,Medium,Medium,Mixed,1.07,Post_Harvest,17.37,1.07,0.7,1,8.4,3,697,697,1,0,Very_Low
Vegetables,Rabi,Haryana,Black,Canal,None,Low,Mostly_Male,1.07,Weeding,35.34,1.11,2.41,3,23.8,3,655,1965,3,0,Low
Mustard,Kharif,Haryana,Red,Drip,None,Medium,Mostly_Male,5.41,Transplanting,8.82,1.12,4.79,26,190.7,38,588,15288,22,4,High
Cotton,Kharif,Uttar_Pradesh,Sandy,Drip,None,Low,Mostly_Female,2.8,Pest_Control,21.5,1.14,2.29,6,49.3,6,436,2616,1,5,Low
Groundnut,Rabi,Karnataka,Sandy,Sprinkler,Medium,High,Mixed,12.2,Weeding,21.97,1.06,1.02,12,87.2,27,439,5268,7,5,Very_Low
Vegetables,Rabi,Haryana,Laterite,Sprinkler,High,Medium,Mostly_Female,2.67,Pest_Control,29.85,0.86,0.58,2,13.2,3,622,1244,0,2,Very_Low
Pulses,Zaid,Karnataka,Black,Tube_Well,Medium,Medium,Mixed,3.67,Fertilizer_Application,17.11,1.09,0.71,3,25.6,6,465,1395,2,1,Very_Low
Groundnut,Kharif,Madhya_Pradesh,Black,Canal,Medium,Low,Mixed,2.87,Harvesting,29.61,0.94,2.5,7,43.0,15,504,3528,3,4,Low
Sugarcane,Kharif,Tamil_Nadu,Alluvial,Rainfed,Low,Low,Mostly_Male,1.14,Sowing,38.55,1.02,3.51,4,35.9,5,568,2272,4,0,Medium
Mustard,Rabi,Madhya_Pradesh,Loamy,Sprinkler,Medium,Low,Mostly_Male,6.53,Harvesting,17.89,1.09,2.72,18,148.8,50,492,8856,16,2,Medium
Rice,Zaid,Punjab,Sandy,Rainfed,None,Low,Mostly_Male,9.63,Fertilizer_Application,20.27,0.9,1.25,12,87.9,19,758,9096,9,3,Very_Low
Pulses,Rabi,Madhya_Pradesh,Alluvial,Canal,Low,Medium,Mostly_Male,1.59,Weeding,11.86,1.1,1.06,2,13.7,4,434,868,2,0,Very_Low
Vegetables,Rabi,Maharashtra,Black,Sprinkler,Low,Low,Mixed,1.14,Pest_Control,44.3,1.13,2.25,3,26.6,2,535,1605,2,1,Low
Groundnut,Kharif,Punjab,Loamy,Sprinkler,High,Low,Mixed,13.4,Pest_Control,28.49,1.14,0.57,8,49.5,20,745,5960,4,4,Very_Low
Soybean,Kharif,Tamil_Nadu,Red,Drip,Low,Medium,Mostly_Female,1.02,Irrigation,16.97,1.07,0.69,1,7.0,1,585,585,0,1,Very_Low
Sugarcane,Zaid,West_Bengal,Laterite,Canal,High,Medium,Mostly_Female,0.98,Harvesting,32.37,1.06,2.16,2,16.7,5,408,816,0,2,Low
Wheat,Zaid,Bihar,Laterite,Canal,Low,Medium,Mostly_Male,1.42,Sowing,18.85,1.0,1.61,2,14.0,5,344,688,2,0,Low
Mustard,Zaid,Uttar_Pradesh,Black,Tube_Well,Medium,High,Mostly_Male,4.5,Land_Preparation,21.53,1.1,0.87,4,30.1,6,457,1828,4,0,Very_Low
Groundnut,Rabi,Odisha,Loamy,Rainfed,Low,High,Mostly_Female,0.91,Post_Harvest,23.86,1.02,1.15,1,7.9,3,419,419,0,1,Very_Low
Maize,Zaid,Odisha,Loamy,Canal,Medium,Medium,Mostly_Male,4.56,Sowing,23.54,0.95,1.29,6,50.8,14,369,2214,5,1,Very_Low
Vegetables,Kharif,Haryana,Alluvial,Drip,High,Medium,Mixed,6.59,Sowing,39.61,0.96,1.46,10,77.6,18,649,6490,4,6,Very_Low
Groundnut,Zaid,West_Bengal,Laterite,Drip,Medium,Medium,Mostly_Male,3.36,Transplanting,19.28,1.0,3.18,11,81.1,22,442,4862,9,2,Medium
Cotton,Rabi,Karnataka,Alluvial,Canal,High,Medium,Mostly_Male,0.57,Post_Harvest,31.62,1.11,0.59,1,7.1,1,494,494,1,0,Very_Low
Maize,Rabi,Uttar_Pradesh,Red,Drip,None,Low,Mostly_Female,5.57,Pest_Control,26.25,0.86,1.06,6,52.0,10,464,2784,1,5,Very_Low
Rice,Zaid,Bihar,Alluvial,Rainfed,Low,Medium,Mostly_Female,1.81,Harvesting,28.46,1.12,4.21,8,59.4,14,399,3192,2,6,High
Mustard,Zaid,Karnataka,Laterite,Drip,None,Medium,Mostly_Male,0.75,Post_Harvest,20.87,1.05,0.92,1,6.7,2,496,496,1,0,Very_Low
Groundnut,Zaid,Uttar_Pradesh,Loamy,Rainfed,High,Medium,Mostly_Female,1.63,Irrigation,20.21,1.02,0.34,1,7.7,1,442,442,0,1,Very_Low
Wheat,Zaid,Tamil_Nadu,Black,Drip,Low,Low,Mostly_Female,0.95,Threshing,16.3,0.9,1.81,2,16.7,3,559,1118,1,1,Low
Groundnut,Kharif,Tamil_Nadu,Sandy,Tube_Well,Low,Low,Mostly_Male,2.24,Fertilizer_Application,23.93,0.98,1.25,3,25.7,4,501,1503,2,1,Very_Low
Rice,Zaid,Madhya_Pradesh,Red,Canal,None,High,Mostly_Male,1.13,Irrigation,22.83,1.14,1.07,1,6.2,1,425,425,1,0,Very_Low
Maize,Rabi,Haryana,Red,Canal,Low,Medium,Mixed,2.82,Sowing,24.98,0.87,1.44,4,31.2,9,667,2668,2,2,Very_Low
Rice,Rabi,Punjab,Red,Drip,Medium,Low,Mostly_Male,1.04,Pest_Control,25.13,1.04,1.17,1,6.1,2,732,732,1,0,Very_Low
Mustard,Zaid,Madhya_Pradesh,Red,Sprinkler,Low,Low,Mostly_Female,1.81,Threshing,15.56,0.91,2.32,4,28.5,8,492,1968,1,3,Low
Vegetables,Zaid,Karnataka,Alluvial,Rainfed,Medium,High,Mostly_Female,2.33,Irrigation,41.12,1.05,0.85,2,12.4,2,464,928,0,2,Very_Low
Vegetables,Rabi,Maharashtra,Sandy,Sprinkler,Low,Low,Mostly_Female,4.43,Post_Harvest,30.53,0.87,1.43,6,48.6,14,540,3240,2,4,Very_Low
Vegetables,Kharif,Odisha,Sandy,Tube_Well,High,High,Mostly_Female,3.53,Irrigation,35.88,1.14,0.69,2,13.6,3,392,784,0,2,Very_Low
Soybean,Rabi,Punjab,Loamy,Canal,Medium,Low,Mixed,1.33,Land_Preparation,15.14,1.12,1.22,2,14.5,2,753,1506,1,1,Very_Low
Mustard,Kharif,Haryana,Sandy,Rainfed,High,High,Mixed,1.83,Sowing,31.01,0.96,0.82,2,17.0,5,613,1226,1,1,Very_Low
Wheat,Kharif,Karnataka,Red,Canal,Low,Low,Mostly_Male,2.92,Irrigation,19.89,1.05,0.93,3,19.7,3,507,1521,3,0,Very_Low
